race_title,date,departure,arrival,class,distance,vertical_meters,startlist_quality,profile_score,temperature,race_ranking,winner_time,winner_speed,profile_image_url,url
National Championships France ME - ITT 2023 Time Trial,2023-06-22,Hazebrouck,Cassel,NC,31.3,368.0,0.0,30.0,21.0,771.0,2376,47.424,https://www.procyclingstats.com/images/profiles/ca/fc/nc-france-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-france-itt/2023/result
National Championships Italy ME - ITT 2023 Time Trial,2023-06-22,Sarche,Sarche,NC,25.7,438.0,0.0,42.0,,771.0,1968,47.012,https://www.procyclingstats.com/images/profiles/ca/da/nc-italy-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-italy-itt/2023/result
National Championships Poland ME - ITT 2023 Time Trial,2023-06-22,Zalew Wykrot,Zalew Wykrot,NC,47.2,160.0,0.0,1.0,,771.0,3336,50.935,https://www.procyclingstats.com/images/profiles/ca/ec/nc-poland-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-poland-itt/2023/result
National Championships Kazakhstan ME - ITT 2023 Time Trial,2023-06-21,Taldykorgan,Taldykorgan,NC,30.0,,0.0,,,770.0,2074,52.073,,https://www.procyclingstats.com/race/nc-kazakhstan-itt/2023/result
National Championships Great Britain ME - ITT 2023 Time Trial,2023-06-21,Croft Circuit,Croft Circuit,NC,41.1,165.0,0.0,0.0,,770.0,2930,50.498,https://www.procyclingstats.com/images/profiles/ca/cf/nc-great-britain-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-great-britain-itt/2023/result
National Championships Netherlands ME - ITT 2023 Time Trial,2023-06-21,Elspeet,Elspeet,NC,42.0,220.0,0.0,1.0,25.0,770.0,2955,51.168,https://www.procyclingstats.com/images/profiles/ca/df/nc-netherlands-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-netherlands-itt/2023/result
Tour de Suisse 2023 Stage 8 (ITT),2023-06-18,St. Gallen,Abtwil,2.UWT,25.7,363.0,855.0,37.0,27.0,17.0,1945,47.568,https://www.procyclingstats.com/images/profiles/ca/cf/tour-de-suisse-2023-stage-8-profile-n2.jpg,https://www.procyclingstats.com/race/tour-de-suisse/2023/stage-8
Baloise Belgium Tour 2023 Stage 3 (ITT),2023-06-16,Beveren,Beveren,2.Pro,15.2,37.0,323.0,0.0,28.0,68.0,1029,53.178,https://www.procyclingstats.com/images/profiles/ca/da/tour-of-belgium-2023-stage-3-profile-n2.jpg,https://www.procyclingstats.com/race/tour-of-belgium/2023/stage-3
Tour de Suisse 2023 Stage 1 (ITT),2023-06-11,Einsiedeln,Einsiedeln,2.UWT,12.7,76.0,855.0,2.0,23.0,17.0,811,56.375,https://www.procyclingstats.com/images/profiles/ca/ba/tour-de-suisse-2023-stage-1-profile.jpg,https://www.procyclingstats.com/race/tour-de-suisse/2023/stage-1
ZLM Tour 2023 Prologue,2023-06-07,Heinkenszand,Heinkenszand,2.Pro,6.6,6.0,122.0,0.0,18.0,151.0,447,53.154,https://www.procyclingstats.com/images/profiles/ca/df/zlm-tour-2023-stage-1-profile.jpg,https://www.procyclingstats.com/race/zlm-tour/2023/prologue
Critérium du Dauphiné 2023 Stage 4 (ITT),2023-06-07,Cours,Belmont-de-la-Loire,2.UWT,31.1,408.0,781.0,20.0,27.0,19.0,2248,49.804,https://www.procyclingstats.com/images/profiles/ca/ed/dauphine-2023-stage-4-profile.jpg,https://www.procyclingstats.com/race/dauphine/2023/stage-4
Giro d'Italia 2023 Stage 20 (ITT),2023-05-27,Tarvisio,Monte Lussari,2.UWT,18.6,1070.0,835.0,197.0,18.0,17.0,2663,25.145,https://www.procyclingstats.com/images/profiles/ca/ab/giro-d-italia-2023-stage-20-profile-n3.jpg,https://www.procyclingstats.com/race/giro-d-italia/2023/stage-20
National Championships Panama ME - ITT 2023 Time Trial,2023-05-26,Chitré,Chitré,NC,30.4,,0.0,,,747.0,2381,45.964,,https://www.procyclingstats.com/race/nc-panama-itt/2023/result
Tour of Norway 2023 Prologue,2023-05-26,Bergen,Mount Fløyen,2.Pro,7.4,321.0,182.0,70.0,10.0,122.0,868,30.691,https://www.procyclingstats.com/images/profiles/ca/ec/tour-of-norway-2023-prologue-profile.png,https://www.procyclingstats.com/race/tour-of-norway/2023/prologue
